_RAJ2000,_DEJ2000,ID,Nsp,Type,z,f_z,OName,RAJ2000,DEJ2000,RAH,DEH,AOffset,e_AOffset,POffset,e_POffset,E(B-V),E(B-V)h,FUVMag,BMag,KsMag,logSFR,logM,logsSFR,Age,Np,Simbad,recno
12 59 15.861600,+27 16 40.80250,PTF09as,1,SLSN-I,0.1866,GAL.LINES,2009cb,12 59 15.8616,+27 16 40.8025,12 59 15.8702,+27 56 42.38,0.149,0.178,0.48,0.574,0.01,0.2,-16.2,-17.62,-17.96,-0.22,8.19,-8.4,0.58,9,Simbad,1
16 30 24.537200,+23 38 25.58980,PTF09atu,1,SLSN-I,0.501,GAL.LINES,,16 30 24.5372,+23 38 25.5898,16 30 24.5435,+24 03 31.34,0.109,0.158,0.686,0.995,0.04,0.23,-14.48,-15.69,-15.82,-0.59,6.84,-7.43,0.06,7,Simbad,2
13 37 56.358133,+22 55 04.78060,PTF09awk,1,SNIb,0.0616,GAL.LINES,,13 37 56.3581,+22 55 04.7806,13 37 56.3593,+22 59 46.62,0.017,0.165,0.021,0.202,0.02,0.19,-17.11,-19.07,-19.73,-0.14,9.56,-9.69,3.98,15,Simbad,3
14 12 40.850200,+31 04 03.88780,PTF09axi,1,SNII,0.064,GAL.LINES,,14 12 40.8502,+31 04 03.8878,14 12 40.9429,+31 07 24.00,1.287,0.114,1.636,0.145,0.01,0.13,-16.03,-18.47,-18.96,-0.82,9.17,-9.98,1.87,10,Simbad,4
16 35 17.680000,+55 37 59.33240,PTF09bce,1,SNII,0.0234,GAL.LINES,,16 35 17.6800,+55 37 59.3324,16 35 17.6568,+55 39 32.16,2.212,0.107,1.079,0.052,0.01,,,,,,,,,0,Simbad,5
18 06 26.808800,+17 51 43.14670,PTF09bcl,2,SNIIn,0.06,MATCHING,,18 06 26.8088,+17 51 43.1467,18 06 26.4418,+18 33 40.22,5.261,0.06,6.3,0.072,0.08,0.2,-13.16,-21.19,-23.17,-2.62,11.09,-13.67,5.81,10,Simbad,6
14 10 18.537533,+16 53 38.71100,PTF09be,1,SNII,0.102,MATCHING,,14 10 18.5375,+16 53 38.7110,14 10 18.4932,+17 31 32.08,0.661,0.249,1.281,0.483,0.02,0.32,-12.75,-14.45,-14.94,-0.91,6.51,-7.39,0.05,3,Simbad,7
14 41 38.329400,+19 21 43.79760,PTF09bgf,1,SNII,0.0318,GAL.LINES,,14 41 38.3294,+19 21 43.7976,14 41 38.3509,+20 04 11.50,0.678,0.145,0.445,0.095,0.02,0.04,-16.18,-17.49,-17.76,-1.01,8.67,-9.68,4.68,14,Simbad,8
15 05 01.989933,+48 40 03.48600,PTF09bw,1,SNII,0.147,GAL.LINES,2009cw,15 05 01.9899,+48 40 03.4860,15 05 02.0346,+48 43 13.50,0.515,0.123,1.367,0.326,0.02,0.17,-16.63,-18.54,-19.46,-0.24,9.31,-9.56,4.81,11,Simbad,9
21 16 28.502267,-00 49 39.70490,PTF09cjq,2,SNII,0.01929,SDSS,,21 16 28.5023,-00 49 39.7049,21 16 27.6060,-01 23 46.48,14.319,0.135,5.788,0.055,0.06,0.19,-17.98,-20.93,-22.47,0.3,10.81,-10.51,8.59,17,Simbad,10
16 12 08.837600,+51 29 16.01770,PTF09cnd,1,SLSN-I,0.2583,GAL.LINES,,16 12 08.8376,+51 29 16.0177,16 12 08.8375,+51 44 29.18,0.531,0.441,2.194,1.822,0.02,0.14,-16.43,-17.28,-17.13,-0.46,7.91,-8.33,0.49,6,Simbad,11
11 42 13.826933,+10 38 54.18710,PTF09ct,1,SNIIn,0.156,GAL.LINES,2009cv,11 42 13.8269,+10 38 54.1871,11 42 13.8433,+11 31 52.30,0.397,0.404,1.107,1.126,0.03,0.22,-17.06,-19.39,-20.85,0.11,9.92,-9.81,5.34,12,Simbad,12
13 15 23.134933,+46 25 09.16280,PTF09cu,1,SNII,0.05692,SDSS,2009ct,13 15 23.1349,+46 25 09.1628,13 15 23.8974,+46 38 28.24,8.985,0.221,10.244,0.252,0.01,0.22,-18.29,-20.74,-21.87,0.52,10.53,-10.01,7.7,15,Simbad,13
21 47 09.946800,+08 18 35.35450,PTF09cvi,3,SNII,0.036,MATCHING,,21 47 09.9468,+08 18 35.3545,21 47 09.9247,+08 53 33.26,0.384,0.205,0.284,0.152,0.07,0.76,-9.64,-13.85,-16.19,-0.31,6.94,-7.21,0.04,4,Simbad,14
14 49 10.108533,+29 25 11.67920,PTF09cwl,1,SLSN-I,0.35,GAL.LINES,2009jh,14 49 10.1085,+29 25 11.6792,14 49 10.1770,+29 37 46.51,1.415,0.205,7.207,1.044,0.01,0.38,-13.0,-14.95,-15.79,-0.55,6.78,-7.36,0.05,7,Simbad,15
22 45 17.093800,+21 49 15.27380,PTF09dah,1,SNIIb,0.0238,GAL.LINES,,22 45 17.0938,+21 49 15.2738,22 45 17.1023,+22 04 17.47,0.12,0.069,0.06,0.034,0.05,0.08,-16.3,-17.84,-18.17,-0.88,9.01,-9.89,6.8,17,Simbad,16
23 09 13.427200,+07 48 15.30610,PTF09dfk,1,SNIb,0.0158,GAL.LINES,,23 09 13.4272,+07 48 15.3061,23 09 13.4830,+08 04 34.85,1.521,0.132,0.506,0.044,0.05,0.19,-14.46,-16.78,-17.57,-1.21,8.76,-9.99,4.28,14,Simbad,17
14 44 42.072600,+49 43 45.13040,PTF09dh,1,SNIc,0.077,MATCHING,2009dr,14 44 42.0726,+49 43 45.1304,14 44 42.1253,+50 28 07.35,0.511,0.094,0.77,0.142,0.02,0.54,-9.77,-12.88,-14.57,-1.15,6.53,-7.58,0.09,3,Simbad,18
15 48 11.483333,+41 13 28.68060,PTF09dra,1,SNII,0.07657,SDSS,,15 48 11.4833,+41 13 28.6806,15 48 11.3176,+41 44 32.49,3.417,0.166,5.121,0.249,0.01,0.21,-18.55,-20.83,-21.83,0.55,10.43,-9.89,5.38,17,Simbad,19
15 06 30.174133,+60 35 39.45010,PTF09drs,1,SNIIn,0.0446,GAL.LINES,,15 06 30.1741,+60 35 39.4501,15 06 30.2509,+61 15 31.25,1.211,0.131,1.098,0.119,0.01,0.17,-18.8,-20.5,-21.23,0.55,10.07,-9.53,7.1,13,Simbad,20
13 37 14.771333,+64 44 13.00990,PTF09dsj,1,SNIIb,0.141,MATCHING,,13 37 14.7713,+64 44 13.0099,,,,,,,0.02,1.21,-4.15,-11.4,-15.79,-0.7,7.12,-7.8,0.14,9,Simbad,21
16 26 52.382733,+51 33 23.90150,PTF09due,2,SNII,0.028423,SDSS,2009ir,16 26 52.3827,+51 33 23.9015,16 26 53.2235,+51 51 25.42,9.565,0.119,5.634,0.07,0.02,0.2,-19.22,-21.2,-22.15,0.86,10.51,-9.65,7.76,12,Simbad,22
23 08 34.753800,+18 56 13.63270,PTF09dxv,3,SNIIb,0.0324,NED,,23 08 34.7538,+18 56 13.6327,23 08 34.7585,+19 16 10.93,6.55,0.095,4.377,0.063,0.15,0.26,-17.92,-20.05,-21.0,0.54,10.06,-9.53,6.03,13,Simbad,23
16 03 04.197733,+21 01 47.31780,PTF09dzt,1,SNIc,0.0874,GAL.LINES,,16 03 04.1977,+21 01 47.3178,16 03 03.8380,+21 48 25.74,5.037,0.258,8.508,0.436,0.08,0.05,-18.43,-20.05,-20.94,0.04,9.99,-9.96,6.82,16,Simbad,24
01 06 42.913533,-06 22 44.62320,PTF09ecm,2,SNII,0.0289,GAL.LINES,,01 06 42.9135,-06 22 44.6232,01 06 43.1722,-07 08 26.34,4.262,0.145,2.551,0.087,0.13,0.05,-18.17,-19.63,-20.44,-0.08,9.76,-9.84,7.0,15,Simbad,25
04 31 18.330133,-10 29 43.24130,PTF09eqb,1,SNII,0.146,MATCHING,,04 31 18.3301,-10 29 43.2413,04 31 18.3161,-11 12 19.12,0.22,0.213,0.581,0.562,0.05,0.21,-15.24,-16.74,-17.2,-0.56,8.02,-8.56,0.82,4,Simbad,26
17 26 20.353800,+72 56 30.86590,PTF09fae,2,SNIIb,0.0668,GAL.LINES,,17 26 20.3538,+72 56 30.8659,17 26 20.1231,+73 24 42.16,2.39,0.182,3.161,0.241,0.03,0.03,-16.66,-17.52,-17.27,-0.91,8.48,-9.4,4.22,13,Simbad,27
21 20 38.484200,+01 02 52.92740,PTF09fbf,2,SNII,0.020744,NED,,21 20 38.4842,+01 02 52.9274,21 20 38.2328,+01 52 10.13,4.672,0.169,2.027,0.073,0.06,0.19,-18.23,-20.14,-20.95,0.37,10.05,-9.68,7.45,17,Simbad,28
03 10 23.335800,-09 59 58.47320,PTF09fma,2,SNII,0.031,NED,,03 10 23.3358,-09 59 58.4732,03 10 23.1363,-10 00 51.45,3.79,0.058,2.427,0.037,0.08,0.09,-17.02,-18.86,-19.69,-0.42,9.39,-9.82,3.68,11,Simbad,29
23 57 46.250933,+11 58 45.93860,PTF09fmk,1,SNII,0.0631,NED,,23 57 46.2509,+11 58 45.9386,23 57 46.4282,+12 42 38.19,2.91,0.154,3.651,0.193,0.08,0.2,-17.94,-20.21,-21.38,0.32,10.24,-9.93,6.91,17,Simbad,30
05 18 54.841000,+19 10 11.27680,PTF09foq,1,SNII,0.019904,NED,2009ju,05 18 54.8410,+19 10 11.2768,05 18 56.3118,+19 32 30.74,23.673,0.071,9.867,0.03,0.43,0.05,-20.01,-21.72,-22.78,0.71,10.76,-10.05,7.36,11,Simbad,31
23 17 10.609800,+17 15 03.49560,PTF09foy,2,SNII,0.063,MATCHING,,23 17 10.6098,+17 15 03.4956,23 17 10.9961,+17 19 07.88,5.571,0.104,6.98,0.13,0.04,0.15,-17.98,-20.4,-21.6,0.16,10.29,-10.15,5.05,17,Simbad,32
22 25 32.366400,+18 59 41.60400,PTF09fqa,1,SNII,0.0309,GAL.LINES,,22 25 32.3664,+18 59 41.6040,22 25 33.0404,+19 42 56.71,9.842,0.067,6.284,0.043,0.04,0.16,-17.56,-19.74,-20.78,0.04,9.88,-9.85,4.05,17,Simbad,33
23 04 53.010933,+12 19 58.90730,PTF09fsr,2,SNIb,0.00777,SDSS,2009jf,23 04 53.0109,+12 19 58.9073,23 04 56.6699,+12 41 11.86,64.981,0.13,10.73,0.021,0.1,0.31,-18.78,-21.33,-22.82,1.16,10.77,-9.61,9.48,17,Simbad,34
15 16 31.476933,+54 27 35.24800,PTF09g,1,SNII,0.04034,SDSS,2009bl,15 16 31.4769,+54 27 35.2480,15 16 31.4131,+54 57 58.98,4.301,0.124,3.545,0.102,0.01,0.14,-18.11,-19.88,-20.51,0.11,9.89,-9.78,6.7,17,Simbad,35
01 22 25.640600,+03 38 08.15530,PTF09gof,1,SNII,0.1028,GAL.LINES,,01 22 25.6406,+03 38 08.1553,01 22 25.4766,+03 46 50.38,2.549,0.246,4.975,0.48,0.03,0.12,-18.41,-20.35,-20.92,0.11,9.89,-9.8,2.34,14,Simbad,36
03 43 43.329200,-17 08 43.28700,PTF09gpn,1,SNII,0.0154,GAL.LINES,,03 43 43.3292,-17 08 43.2870,03 43 43.5051,-17 48 28.91,3.771,0.129,1.223,0.042,0.14,0.09,-14.04,-14.66,-14.93,-1.44,6.68,-8.1,0.29,6,Simbad,37
02 20 37.700000,+02 24 12.91720,PTF09gtt,1,SNII,0.0409,GAL.LINES,2009nu,02 20 37.7000,+02 24 12.9172,02 20 37.2750,+02 48 01.11,12.799,0.183,10.687,0.153,0.03,0.12,-16.7,-18.15,-19.18,-0.31,9.1,-9.41,5.69,12,Simbad,38
01 08 14.185200,-05 06 21.31060,PTF09gxq,1,SNIIb,0.0382,GAL.LINES,,01 08 14.1852,-05 06 21.3106,01 08 13.9953,-05 29 11.15,3.4,0.261,2.66,0.204,0.04,0.04,-16.74,-18.79,-19.68,-0.73,9.54,-10.3,5.56,15,Simbad,39
01 58 56.914200,-07 16 57.05690,PTF09gyp,1,SNIIb,0.0463,GAL.LINES,1885A,01 58 56.9142,-07 16 57.0569,01 58 56.9425,-08 13 03.24,0.421,0.205,0.395,0.193,0.02,0.72,-7.37,-11.22,-13.56,-1.4,6.07,-7.41,0.05,2,Simbad,40
00 15 23.395600,+30 43 19.44620,PTF09hdo,1,SNII,0.047673,NED,,00 15 23.3956,+30 43 19.4462,00 15 22.8166,+30 59 15.25,8.12,0.212,7.839,0.205,0.06,0.29,-17.94,-20.91,-22.5,0.67,10.78,-10.14,7.17,17,Simbad,41
23 01 52.864667,+14 24 49.91220,PTF09hnq,1,SNIIb,0.0273,SDSS,2014cf,23 01 52.8647,+14 24 49.9122,23 01 52.9354,+15 13 55.99,1.028,0.148,0.582,0.084,0.09,0.1,-16.46,-17.95,-18.32,-0.69,9.02,-9.69,7.16,11,Simbad,42
11 50 57.740733,+21 11 49.59890,PTF09hzg,1,SNII,0.02704,SDSS,,11 50 57.7407,+21 11 49.5989,11 50 56.7890,+22 01 09.76,13.322,0.168,7.478,0.094,0.04,0.28,-15.4,-19.33,-21.62,-0.26,10.25,-10.51,3.32,15,Simbad,43
12 02 46.870600,+02 24 06.88280,PTF09iex,1,SNII,0.02,NED,2010K,12 02 46.8706,+02 24 06.8828,12 02 46.9649,+02 26 42.07,4.414,0.217,1.848,0.091,0.02,0.07,-15.71,-16.7,-16.88,-0.97,7.99,-8.94,2.16,14,Simbad,44
08 55 34.287733,+32 39 56.69860,PTF09ige,1,SNII,0.065,MATCHING,,08 55 34.2877,+32 39 56.6986,08 55 34.1302,+32 41 24.42,5.111,0.158,6.591,0.204,0.02,0.14,-18.07,-19.89,-20.34,0.07,9.75,-9.71,2.88,13,Simbad,45
08 53 56.675333,+33 40 11.45100,PTF09igz,1,SNII,0.086,SDSS,,08 53 56.6753,+33 40 11.4510,08 53 56.5749,+33 50 39.89,1.479,0.145,2.462,0.241,0.02,0.08,-16.91,-18.75,-19.48,-0.51,9.25,-9.8,2.17,16,Simbad,46
14 32 14.718400,+54 51 19.52890,PTF09ij,1,SNII,0.124,GAL.LINES,,14 32 14.7184,+54 51 19.5289,14 32 14.7263,+55 10 33.01,0.072,0.518,0.165,1.19,0.01,0.13,-14.48,-16.91,-17.27,-1.57,8.38,-9.96,0.99,5,Simbad,47
14 04 21.490933,-04 03 40.16880,PTF09inv,1,SNII,0.0554,NED,,14 04 21.4909,-04 03 40.1688,14 04 21.6113,-04 40 22.54,3.324,0.633,3.695,0.704,0.04,0.1,-16.89,-19.04,-19.48,-0.59,9.37,-10.0,2.1,8,Simbad,48
02 35 23.233200,+40 17 08.70970,PTF09iqd,1,SNIc,0.034054,NED,,02 35 23.2332,+40 17 08.7097,02 35 22.8155,+41 09 45.82,15.692,0.122,11.0,0.086,0.06,0.22,-15.09,-20.55,-22.29,-1.02,10.6,-11.54,3.48,9,Simbad,49
11 44 35.930533,+10 12 44.17490,PTF09ism,1,SNIIb,0.02931,SDSS,,11 44 35.9305,+10 12 44.1749,11 44 35.3891,+10 58 35.65,8.351,0.195,5.067,0.118,0.06,0.25,-16.48,-18.46,-19.33,-0.06,9.34,-9.4,5.79,15,Simbad,50
16 14 08.642800,+55 41 41.13560,PTF09ps,1,SNIc,0.1066,NED,2009ki,16 14 08.6428,+55 41 41.1356,16 14 08.6331,+56 22 36.37,0.478,0.19,0.963,0.383,0.01,0.14,-17.23,-18.69,-19.45,-0.09,9.14,-9.23,4.08,13,Simbad,51
12 24 50.155400,+08 25 57.59360,PTF09q,1,SNIc,0.09028,NED,2009bh,12 24 50.1554,+08 25 57.5936,12 24 50.0128,+08 27 17.51,4.26,0.24,7.408,0.417,0.02,0.13,-18.41,-20.91,-22.52,0.37,10.65,-10.29,5.13,15,Simbad,52
14 18 58.664400,+35 23 15.91800,PTF09r,1,SNII,0.0274,GAL.LINES,2009bj,14 18 58.6644,+35 23 15.9180,14 18 58.5972,+35 38 15.85,1.05,0.137,0.597,0.078,0.01,0.18,-11.82,-16.79,-18.11,-2.31,9.06,-11.32,4.88,11,Simbad,53
16 13 58.429333,+39 31 57.86110,PTF09sh,1,SNII,0.037586,NED,,16 13 58.4293,+39 31 57.8611,16 13 58.5720,+40 21 12.28,7.833,0.137,6.035,0.106,0.01,0.1,-18.4,-19.7,-20.44,0.29,9.5,-9.2,3.92,16,Simbad,54
13 30 51.195200,+30 20 04.83790,PTF09sk,1,SNIc-BL,0.03615,SDSS,,13 30 51.1952,+30 20 04.8379,13 30 51.1752,+30 22 13.12,2.632,0.16,1.954,0.119,0.01,0.15,-16.32,-18.05,-18.73,-0.49,9.0,-9.5,3.96,16,Simbad,55
14 15 43.311533,+16 11 58.80370,PTF09t,1,SNII,0.038867,SDSS,2009bk,14 15 43.3115,+16 11 58.8037,14 15 42.9375,+16 12 18.43,5.593,0.154,4.449,0.122,0.01,0.15,-18.25,-20.05,-20.48,0.16,9.81,-9.66,2.67,17,Simbad,56
13 46 55.957733,+61 33 15.48430,PTF09tm,1,SNIIn,0.03449,SDSS,,13 46 55.9577,+61 33 15.4843,13 46 55.5074,+61 50 16.02,3.678,0.111,2.61,0.079,0.02,0.28,-16.61,-19.88,-21.63,0.1,10.23,-10.2,3.22,17,Simbad,57
14 20 11.264333,+53 33 40.65840,PTF09uj,1,SNIIn,0.06498,SDSS,,14 20 11.2643,+53 33 40.6584,14 20 10.8425,+54 14 59.34,3.987,0.172,5.14,0.222,0.01,0.17,-17.52,-19.6,-20.27,-0.03,9.66,-9.72,2.12,14,Simbad,58
14 12 07.664600,+74 45 46.96600,PTF09ut,1,SNIbc,0.0427,GAL.LINES,,14 12 07.6646,+74 45 46.9660,14 12 07.1261,+75 35 45.97,4.353,0.125,3.787,0.109,0.03,0.1,-17.18,-19.56,-20.63,-0.28,9.82,-10.16,3.57,9,Simbad,59
12 43 55.850533,+74 41 07.91090,PTF09uy,1,SLSN-IIn,0.3137,GAL.LINES,,12 43 55.8505,+74 41 07.9109,12 43 55.7166,+74 48 41.50,0.574,0.262,2.719,1.241,0.02,0.22,-16.25,-17.9,-18.47,-0.13,8.55,-8.66,1.04,6,Simbad,60
02 07 10.008600,+16 12 40.16450,PTF10aaes,1,SNIIn,0.033,GAL.LINES,,02 07 10.0086,+16 12 40.1645,02 07 09.8725,+16 53 26.59,2.341,0.206,1.592,0.14,0.05,0.29,-16.78,-19.35,-20.68,0.21,10.02,-9.82,7.91,10,Simbad,61
09 39 56.931733,+21 43 16.83550,PTF10aagc,1,SLSN-I,0.206,GAL.LINES,,09 39 56.9317,+21 43 16.8355,09 39 56.9137,+22 00 10.69,0.425,0.114,1.481,0.397,0.02,0.15,-17.17,-18.64,-19.26,-0.09,9.05,-9.13,3.23,8,Simbad,62
02 11 01.258667,+15 47 07.32950,PTF10aaho,1,SNII,0.106,MATCHING,,02 11 01.2587,+15 47 07.3295,02 11 01.1701,+15 54 26.32,1.283,0.118,2.572,0.237,0.08,0.23,-13.21,-16.65,-17.79,-1.06,8.72,-9.73,3.19,4,Simbad,63
01 53 57.189933,+13 33 06.44470,PTF10aako,1,SNIIb,0.071,MATCHING,,01 53 57.1899,+13 33 06.4447,01 53 57.1906,+13 39 06.05,0.344,0.166,0.481,0.232,0.06,1.1,-6.26,-12.6,-16.93,-0.31,7.61,-7.79,0.14,1,Simbad,64
09 59 54.189067,+68 06 02.19960,PTF10aauo,1,SNIIb,0.03579,SDSS,,09 59 54.1891,+68 06 02.1996,09 59 53.9132,+68 10 21.53,2.654,0.107,1.951,0.079,0.05,0.15,-18.37,-19.91,-20.39,0.26,9.82,-9.56,8.35,15,Simbad,65
09 29 56.702533,+35 21 52.38830,PTF10aauu,1,SNII,0.053,MATCHING,,09 29 56.7025,+35 21 52.3883,09 29 56.7276,+36 04 24.50,8.985,0.133,9.583,0.142,0.01,0.15,-16.95,-19.08,-19.84,-0.35,9.7,-10.05,6.28,16,Simbad,66
07 11 25.206200,+49 56 33.47200,PTF10aauv,1,SNII,0.0215,GAL.LINES,,07 11 25.2062,+49 56 33.4720,07 11 25.1939,+50 30 53.44,1.424,0.09,0.64,0.04,0.06,0.06,-16.63,-18.24,-19.24,-0.64,9.31,-9.94,6.88,12,Simbad,67
11 20 13.436400,+03 44 43.84970,PTF10aavz,1,SNIc-BL,0.062,GAL.LINES,,11 20 13.4364,+03 44 43.8497,11 20 13.3710,+04 26 36.65,1.578,0.169,1.948,0.209,0.05,0.11,-14.84,-17.67,-18.42,-1.31,8.95,-10.29,2.36,12,Simbad,68
09 42 53.319800,+09 29 42.39780,PTF10aaxf,1,SNIIn,0.01062,SDSS,2010jl,09 42 53.3198,+09 29 42.3978,09 42 53.1263,+09 59 44.50,12.003,0.167,2.7,0.038,0.02,0.03,-18.1,-18.95,-18.82,-0.33,9.1,-9.43,6.1,17,Simbad,69
02 06 52.245000,+44 34 17.27400,PTF10aazn,1,SNIIn,0.017222,NED,2010jj,02 06 52.2450,+44 34 17.2740,02 06 51.6076,+44 51 53.55,6.839,0.186,2.474,0.067,0.07,0.18,-19.56,-21.46,-22.61,1.04,10.53,-9.49,6.71,12,Simbad,70
08 31 17.421000,+10 20 27.27820,PTF10abav,1,SNII,0.08481,SDSS,,08 31 17.4210,+10 20 27.2782,08 31 17.4448,+10 47 20.92,0.358,0.147,0.589,0.242,0.04,0.34,-16.42,-19.61,-21.23,0.23,10.16,-9.95,3.28,14,Simbad,71
02 40 13.913600,-08 46 26.14120,PTF10abca,1,SNII,0.02427,SDSS,,02 40 13.9136,-08 46 26.1412,02 40 16.1182,-09 23 05.13,34.466,0.151,17.423,0.076,0.02,0.16,-18.2,-20.86,-22.36,0.32,10.65,-10.35,6.44,17,Simbad,72
23 20 22.290200,+27 18 57.85780,PTF10abck,1,SNIb,0.01426,NED,2010kc,23 20 22.2902,+27 18 57.8578,23 20 22.5964,+28 14 27.16,4.315,0.087,1.297,0.026,0.11,0.25,-17.98,-20.65,-22.22,0.6,10.56,-9.97,6.56,15,Simbad,73
23 15 36.724600,+22 48 46.61500,PTF10abcl,1,SNIIn,0.061,MATCHING,,23 15 36.7246,+22 48 46.6150,23 15 36.5156,+23 36 43.04,3.574,0.141,4.346,0.171,0.12,0.14,-17.94,-19.95,-20.9,0.06,10.09,-10.04,7.72,16,Simbad,74
00 42 42.171800,-09 18 37.39930,PTF10abkc,1,SNII,0.0499,GAL.LINES,,00 42 42.1718,-09 18 37.3993,00 42 42.1562,-09 56 07.48,0.761,0.241,0.767,0.243,0.03,0.16,-14.13,-15.49,-15.87,-1.3,7.71,-8.98,2.28,3,Simbad,75
01 24 52.501467,-05 22 26.00290,PTF10abmc,1,SNII,0.0489,GAL.LINES,,01 24 52.5015,-05 22 26.0029,01 24 52.6992,-05 46 22.18,3.374,0.208,3.336,0.206,0.03,0.19,-17.63,-19.24,-20.22,0.34,9.33,-8.96,2.27,12,Simbad,76
04 03 38.671867,+70 45 16.11830,PTF10abpr,1,SNII,0.0142,GAL.LINES,2010kp,04 03 38.6719,+70 45 16.1183,04 03 40.6900,+70 56 38.24,10.938,0.042,3.275,0.013,0.29,0.13,-15.88,-17.22,-17.86,-0.62,8.36,-8.98,2.3,12,Simbad,77
08 01 17.538533,+16 21 32.06410,PTF10abrq,1,SNII,0.04047,SDSS,,08 01 17.5385,+16 21 32.0641,08 01 17.8353,+16 58 47.20,7.141,0.086,5.903,0.071,0.03,0.15,-14.64,-17.51,-18.43,-1.25,9.04,-10.35,3.15,12,Simbad,78
03 43 27.628333,-12 48 39.37570,PTF10absf,1,SNII,0.069,GAL.LINES,,03 43 27.6283,-12 48 39.3757,03 43 27.7505,-13 27 54.47,1.865,0.169,2.541,0.23,0.07,0.15,-13.76,-15.0,-15.14,-1.51,7.45,-8.93,1.61,3,Simbad,79
01 25 23.709400,+10 10 29.61370,PTF10abte,1,SNII,0.048026,NED,,01 25 23.7094,+10 10 29.6137,01 25 24.3361,+10 33 59.28,10.829,0.171,10.528,0.166,0.09,0.11,-19.3,-21.5,-22.97,0.63,10.9,-10.26,8.04,15,Simbad,80
06 12 18.467600,-22 46 14.88760,PTF10abui,1,SNIIn,0.052,MATCHING,,06 12 18.4676,-22 46 14.8876,06 12 18.7789,-23 08 10.63,8.466,0.184,8.869,0.193,0.06,0.1,-18.3,-19.53,-20.04,0.18,9.34,-9.15,3.42,12,Simbad,81
05 16 40.533733,+06 47 53.74320,PTF10abyy,1,SNII,0.0304,GAL.LINES,,05 16 40.5337,+06 47 53.7432,05 16 39.8096,+07 27 37.01,16.989,0.133,10.678,0.084,0.15,0.14,-17.51,-18.62,-18.97,0.04,8.7,-8.63,1.04,6,Simbad,82
14 00 47.113733,+59 20 16.84860,PTF10acbu,2,SNIc,0.01014,SDSS,,14 00 47.1137,+59 20 16.8486,14 00 45.7801,+60 02 33.48,34.819,0.172,7.482,0.037,0.01,0.26,-18.12,-20.71,-22.39,0.74,10.6,-9.86,7.46,17,Simbad,83
09 51 37.674333,+01 31 16.74800,PTF10acfd,1,SNIIn,0.193,MATCHING,,09 51 37.6743,+01 31 16.7480,09 51 37.6069,+01 48 50.05,1.484,0.113,4.914,0.374,0.03,0.2,-16.71,-18.32,-19.03,-0.08,8.94,-9.0,1.87,4,Simbad,84
11 22 58.385933,+17 02 27.84910,PTF10acff,1,SNIb,0.06087,SDSS,,11 22 58.3859,+17 02 27.8491,11 22 58.9008,+17 32 13.27,7.756,0.245,9.412,0.297,0.02,0.53,-15.58,-19.59,-21.64,0.53,10.28,-9.75,1.18,17,Simbad,85
12 17 43.965400,+66 02 37.40420,PTF10acgq,1,SNIb,0.10466,SDSS,,12 17 43.9654,+66 02 37.4042,12 17 44.5469,+66 41 52.91,4.322,0.246,8.569,0.488,0.02,0.27,-18.25,-20.76,-21.89,0.76,10.12,-9.36,0.98,17,Simbad,86
03 05 57.529533,-10 31 21.89820,PTF10achk,1,SNIIn,0.032699,NED,,03 05 57.5295,-10 31 21.8982,03 05 57.7843,-10 55 17.08,4.451,0.081,3.001,0.055,0.05,0.15,-17.37,-20.45,-22.44,,10.72,-10.7,6.67,12,Simbad,87
08 04 00.889533,+15 15 22.95250,PTF10acrm,1,SNII,0.05529,SDSS,,08 04 00.8895,+15 15 22.9525,08 03 59.9465,+15 30 55.28,15.352,0.173,17.035,0.192,0.03,0.23,-18.88,-21.67,-23.17,0.84,10.78,-10.02,2.76,17,Simbad,88
01 44 56.987733,+38 29 19.22890,PTF10acrt,1,SNII,0.0343,GAL.LINES,,01 44 56.9877,+38 29 19.2289,01 44 57.6406,+38 46 16.25,7.912,0.16,5.585,0.113,0.04,0.06,-17.77,-18.79,-18.9,-0.23,8.93,-9.15,3.23,12,Simbad,89
08 01 33.218400,+46 45 52.92320,PTF10acsq,1,SNIIn,0.174,MATCHING,,08 01 33.2184,+46 45 52.9232,08 01 33.1501,+47 37 47.10,0.715,0.203,2.179,0.619,0.06,0.68,-11.04,-16.49,-19.69,0.02,9.4,-9.31,2.16,5,Simbad,90
13 04 01.644800,+55 08 07.82700,PTF10ad,1,SNII,0.09,MATCHING,,13 04 01.6448,+55 08 07.8270,13 04 01.7121,+55 17 28.74,1.75,0.434,3.035,0.753,0.01,0.11,-15.93,-17.66,-18.86,-0.65,9.05,-9.7,4.77,13,Simbad,91
09 16 21.300133,+17 43 40.49870,PTF10bau,3,SNII,0.02596,SDSS,2010Z,09 16 21.3001,+17 43 40.4987,09 16 21.6740,+18 21 09.37,5.833,0.085,3.148,0.046,0.03,0.24,-18.74,-20.93,-22.01,0.8,10.5,-9.7,8.26,15,Simbad,92
12 54 41.279000,+15 24 16.98190,PTF10bfz,1,SLSN-I,0.1701,GAL.LINES,,12 54 41.2790,+15 24 16.9819,12 54 41.2839,+15 40 39.22,0.336,0.159,1.006,0.476,0.02,0.09,-16.74,-17.41,-17.36,-0.43,7.71,-8.15,0.34,9,Simbad,93
