_RAJ2000,_DEJ2000,ID,Nsp,Type,z,f_z,OName,RAJ2000,DEJ2000,RAH,DEH,AOffset,e_AOffset,POffset,e_POffset,E(B-V),E(B-V)h,FUVMag,BMag,KsMag,logSFR,logM,logsSFR,Age,Np,Simbad,recno
17 14 30.836933,+21 25 59.70900,PTF10uiz,1,SNIIn,0.113,MATCHING,,17 14 30.8369,+21 25 59.7090,17 14 30.8459,+21 26 51.79,1.161,0.221,2.462,0.469,0.04,0.08,-12.43,-17.5,-18.29,-3.61,9.08,-12.62,3.29,10,Simbad,242
23 34 31.901000,+22 21 03.34190,PTF10ujc,1,SNIIn,0.034,MATCHING,,23 34 31.9010,+22 21 03.3419,23 34 31.7830,+23 18 50.45,4.79,0.097,3.353,0.068,0.05,0.1,-16.54,-17.82,-18.62,-0.43,8.77,-9.18,3.72,13,Simbad,243
01 21 22.679933,+04 53 28.64720,PTF10uls,1,SNII,0.044,MATCHING,,01 21 22.6799,+04 53 28.6472,01 21 22.8350,+05 23 34.28,3.012,0.146,2.696,0.131,0.03,0.14,-16.05,-18.45,-19.78,-0.64,9.59,-10.23,5.95,17,Simbad,244
01 22 01.690533,-01 57 23.24050,PTF10umz,1,SNII,0.0586,GAL.LINES,,01 22 01.6905,-01 57 23.2405,01 22 01.7678,-02 16 53.66,3.541,0.381,4.148,0.446,0.04,0.11,-16.75,-18.01,-18.3,-0.46,8.72,-9.18,3.38,11,Simbad,245
17 17 00.329733,+27 29 27.59060,PTF10uqg,1,SNII,0.0487,GAL.LINES,,17 17 00.3297,+27 29 27.5906,17 17 00.4622,+28 01 12.44,4.942,0.095,4.868,0.094,0.04,0.07,-16.14,-17.79,-18.79,-0.8,9.15,-9.94,7.23,17,Simbad,246
23 06 57.381133,+03 56 22.58700,PTF10uqn,1,SNII,0.0481,GAL.LINES,,23 06 57.3811,+03 56 22.5870,23 06 57.6624,+04 26 29.49,8.956,0.143,8.72,0.139,0.05,0.34,-17.69,-21.03,-22.87,0.75,10.97,-10.23,7.76,16,Simbad,247
21 47 18.466000,+18 07 50.95490,PTF10vag,1,SNIIn,0.052,MATCHING,,21 47 18.4660,+18 07 50.9549,21 47 18.4724,+18 57 15.35,0.705,0.075,0.739,0.079,0.1,0.21,-13.52,-15.51,-16.29,-1.32,7.91,-9.26,1.83,9,Simbad,248
23 05 48.966733,+03 31 20.55110,PTF10vdl,1,SNII,0.016475,NED,,23 05 48.9667,+03 31 20.5511,23 05 48.2541,+04 14 17.95,82.441,0.163,28.56,0.056,0.05,0.13,-19.1,-21.1,-22.81,0.71,10.82,-10.1,9.99,16,Simbad,249
22 16 01.158533,+40 52 03.05540,PTF10vgv,1,SNIc-BL,0.0141,GAL.LINES,,22 16 01.1585,+40 52 03.0554,22 16 01.5879,+40 58 16.99,5.843,0.076,1.737,0.023,0.14,0.18,-16.16,-18.52,-19.48,-0.54,9.52,-10.06,5.42,17,Simbad,250
22 04 27.432400,-07 58 41.07320,PTF10viv,1,SNIIn,0.06128,SDSS,2010jg,22 04 27.4324,-07 58 41.0732,22 04 26.8005,-08 41 08.87,9.612,0.102,11.737,0.125,0.03,0.18,-18.1,-20.09,-20.88,0.25,10.07,-9.83,6.7,15,Simbad,251
23 33 39.204200,+12 27 37.08110,PTF10vns,1,SNIIb,0.0408,GAL.LINES,,23 33 39.2042,+12 27 37.0811,23 33 39.4626,+13 01 24.42,4.634,0.115,3.86,0.096,0.05,0.19,-16.9,-19.36,-20.26,-0.23,9.82,-10.06,4.25,17,Simbad,252
02 00 24.846400,+24 34 43.84700,PTF10vnv,1,SNIb,0.016902,NED,2010ha,02 00 24.8464,+24 34 43.8470,02 00 23.3767,+25 23 50.33,20.924,0.105,7.433,0.037,0.1,0.16,-18.01,-20.35,-21.81,0.28,10.43,-10.15,8.21,17,Simbad,253
03 03 06.848133,-01 32 34.97600,PTF10vqv,1,SLSN-I,0.452,GAL.LINES,,03 03 06.8481,-01 32 34.9760,03 03 06.8742,-02 07 25.48,0.595,0.214,3.54,1.273,0.06,0.1,-17.86,-18.04,-17.45,0.14,7.56,-7.48,0.07,6,Simbad,254
18 59 32.876400,+19 24 25.78970,PTF10vwg,1,SLSN-I,0.187,MATCHING,2010hy,18 59 32.8764,+19 24 25.7897,18 59 32.8863,+19 50 14.49,0.473,0.356,1.528,1.15,0.45,0.26,-12.46,-14.53,-15.43,-1.33,7.13,-8.5,0.65,5,Simbad,255
02 04 50.063733,-02 25 46.43330,PTF10wal,1,SNIc,0.028803,NED,,02 04 50.0637,-02 25 46.4333,02 04 50.4477,-03 03 06.28,10.124,0.15,6.041,0.089,0.03,0.14,-18.17,-20.25,-21.3,0.21,10.18,-10.0,6.72,15,Simbad,256
00 25 19.452933,-14 33 38.04010,PTF10wcy,1,SNII,0.024424,NED,,00 25 19.4529,-14 33 38.0401,00 25 18.3240,-14 59 35.12,19.996,0.144,10.171,0.073,0.03,0.22,-17.44,-20.36,-22.02,0.23,10.61,-10.39,8.78,17,Simbad,257
17 26 50.490933,+58 51 07.52220,PTF10weh,1,SNIIn,0.138,MATCHING,,17 26 50.4909,+58 51 07.5222,,,,,,,0.03,1.18,-3.38,-10.46,-14.67,-1.14,6.72,-7.95,0.2,4,Simbad,258
21 56 15.674333,+02 10 13.76900,PTF10wmf,1,SNII,0.027883,NED,,21 56 15.6743,+02 10 13.7690,21 56 14.9906,+02 31 11.36,12.653,0.133,7.317,0.077,0.05,0.3,-18.01,-20.98,-22.54,0.73,10.69,-9.96,4.45,17,Simbad,259
08 48 08.698533,+55 49 33.35810,PTF10wmk,1,SNIIn,0.137,MATCHING,,08 48 08.6985,+55 49 33.3581,08 48 08.9729,+56 20 40.81,2.857,0.183,7.146,0.458,0.05,0.19,-17.1,-18.86,-19.68,0.05,9.25,-9.18,3.57,12,Simbad,260
00 53 16.040733,+32 32 34.84680,PTF10wnp,1,SNII,0.0458,GAL.LINES,,00 53 16.0407,+32 32 34.8468,00 53 15.3584,+33 09 48.79,9.123,0.1,8.481,0.093,0.06,0.07,-15.58,-18.34,-18.77,-1.2,9.16,-10.35,2.34,11,Simbad,261
21 50 35.826000,-06 46 03.87410,PTF10wop,1,SNIIn,0.09,MATCHING,,21 50 35.8260,-06 46 03.8741,21 50 35.8113,-06 48 42.98,1.178,0.098,2.043,0.17,0.03,0.14,-17.81,-19.34,-19.79,-0.02,9.56,-9.58,6.29,17,Simbad,262
23 56 44.039800,+09 16 01.79000,PTF10wve,1,SNII,0.0396,GAL.LINES,,23 56 44.0398,+09 16 01.7900,23 56 44.1713,+09 17 50.84,1.949,0.132,1.578,0.107,0.06,0.13,-16.53,-18.42,-19.09,-0.57,9.35,-9.93,6.32,17,Simbad,263
01 47 06.901333,+13 56 28.90460,PTF10xem,1,SNIc-BL,0.05671,SDSS,,01 47 06.9013,+13 56 28.9046,01 47 07.0409,+14 25 23.14,2.089,0.11,2.373,0.125,0.05,0.14,-17.85,-18.77,-18.42,0.21,8.2,-7.99,0.23,14,Simbad,264
01 55 58.183000,+37 07 59.70110,PTF10xfh,1,SNIb,0.017399,NED,,01 55 58.1830,+37 07 59.7011,01 55 58.4521,+37 52 57.77,14.11,0.1776,5.156,0.065,0.08,0.11,-17.39,-19.99,-21.37,-0.2,10.26,-10.45,6.3,11,Simbad,265
02 19 49.408933,+15 17 42.03420,PTF10xfl,1,SNIIb,0.05,MATCHING,,02 19 49.4089,+15 17 42.0342,02 19 48.8598,+15 58 44.88,7.95,0.09,8.028,0.091,0.09,0.19,-17.37,-20.11,-21.67,0.09,10.42,-10.34,7.43,12,Simbad,266
00 25 40.633000,+26 36 40.86000,PTF10xfw,1,SNII,0.065,MATCHING,,00 25 40.6330,+26 36 40.8600,00 25 40.8595,+27 18 12.47,3.323,0.143,4.285,0.184,0.03,0.09,-14.89,-15.78,-15.99,-1.18,7.49,-8.67,1.06,14,Simbad,267
21 55 57.380000,+01 19 14.15320,PTF10xgo,1,SNIIn,0.033,GAL.LINES,,21 55 57.3800,+01 19 14.1532,21 55 57.4275,+01 33 38.87,0.867,0.145,0.59,0.099,0.05,0.11,-16.02,-17.29,-17.61,-0.76,8.49,-9.24,4.26,14,Simbad,268
03 12 25.514200,-09 48 45.07310,PTF10xif,1,SNIIn,0.0289,GAL.LINES,,03 12 25.5142,-09 48 45.0731,03 12 25.8935,-10 19 47.82,14.411,0.133,8.626,0.08,0.07,0.11,-17.37,-20.03,-21.83,-0.13,10.51,-10.62,8.85,10,Simbad,269
02 36 27.499200,+09 53 17.25970,PTF10xik,1,SNIc,0.0707,GAL.LINES,,02 36 27.4992,+09 53 17.2597,02 36 27.6810,+10 13 40.59,4.346,0.179,6.055,0.249,0.08,0.05,-16.77,-18.03,-18.5,-0.66,8.95,-9.6,7.39,10,Simbad,270
02 07 27.201800,+04 18 13.34740,PTF10xiw,1,SNII,0.059603,NED,,02 07 27.2018,+04 18 13.3474,02 07 26.9878,+04 34 00.23,4.16,0.178,4.951,0.212,0.03,0.14,-16.56,-20.68,-22.26,-0.43,10.38,-10.81,1.81,16,Simbad,271
02 49 19.508200,-08 10 30.68510,PTF10xjr,1,SNIb,0.03028,SDSS,,02 49 19.5082,-08 10 30.6851,02 49 18.2830,-08 39 55.25,18.208,0.24,11.401,0.15,0.03,0.32,-18.15,-21.41,-23.23,0.88,10.94,-10.09,4.21,17,Simbad,272
00 10 29.149800,+24 28 01.12620,PTF10xjv,1,SNII,0.0275,GAL.LINES,,00 10 29.1498,+24 28 01.1262,00 10 28.9332,+24 32 39.92,4.612,0.122,2.631,0.07,0.04,0.2,-14.09,-16.15,-16.92,-1.26,8.37,-9.63,3.32,15,Simbad,273
00 45 16.179867,-14 13 43.40780,PTF10xla,1,SNII,0.0532,GAL.LINES,,00 45 16.1799,-14 13 43.4078,00 45 16.3081,-14 54 58.66,2.35,0.45,2.515,0.482,0.02,0.27,-15.91,-18.4,-19.85,-0.18,9.6,-9.79,7.32,12,Simbad,274
23 09 22.733867,+01 00 03.11980,PTF10xlr,1,SNII,0.01535,SDSS,,23 09 22.7339,+01 00 03.1198,23 09 22.9240,+01 03 36.41,2.892,0.19,0.935,0.061,0.04,0.1,-16.4,-18.01,-18.43,-0.76,9.12,-9.88,7.33,16,Simbad,275
23 17 37.079200,+16 26 51.69620,PTF10xmi,1,SNII,0.0777,GAL.LINES,,23 17 37.0792,+16 26 51.6962,23 17 37.0603,+17 16 13.00,1.504,0.121,2.284,0.184,0.05,0.12,-17.08,-18.78,-19.2,-0.42,9.32,-9.74,3.83,14,Simbad,276
08 23 14.270400,+21 57 57.99490,PTF10xtq,1,SNII,0.08014,SDSS,,08 23 14.2704,+21 57 57.9949,08 23 14.1579,+22 52 22.30,3.055,0.151,4.772,0.236,0.04,0.1,-18.02,-19.95,-20.68,-0.05,9.88,-9.93,4.18,16,Simbad,277
08 02 23.702200,+67 25 06.82540,PTF10xzs,1,SNIIn,0.0383,GAL.LINES,,08 02 23.7022,+67 25 06.8254,08 02 23.6929,+67 33 04.86,1.257,0.105,0.986,0.082,0.04,0.34,-13.89,-16.26,-17.49,-0.66,8.4,-9.05,2.09,5,Simbad,278
23 15 53.539600,+20 28 17.31720,PTF10yna,1,SNII,0.035,MATCHING,,23 15 53.5396,+20 28 17.3172,23 15 53.2131,+20 52 52.18,8.837,0.356,6.359,0.256,0.12,0.06,-17.02,-18.29,-18.45,-0.63,9.06,-9.69,6.33,13,Simbad,279
21 54 23.286333,+15 09 20.22550,PTF10yow,1,SNIc,0.024534,NED,2010iq,21 54 23.2863,+15 09 20.2255,21 54 23.0856,+15 34 06.86,5.687,0.109,2.905,0.056,0.09,0.24,-18.87,-21.68,-23.47,0.94,11.11,-10.17,7.87,17,Simbad,280
10 02 45.627333,+04 02 44.23130,PTF10ypi,1,SNII,0.055836,SDSS,,10 02 45.6273,+04 02 44.2313,10 02 45.5514,+04 44 51.02,1.788,0.222,2.002,0.249,0.02,0.13,-18.14,-19.61,-20.01,0.09,9.68,-9.59,7.83,17,Simbad,281
23 41 04.606800,+24 10 04.85690,PTF10ysd,1,SNIc,0.0962,GAL.LINES,,23 41 04.6068,+24 10 04.8569,23 41 04.6182,+24 14 13.37,0.653,0.109,1.202,0.201,0.05,0.32,-17.48,-20.32,-21.76,0.58,10.32,-9.76,3.14,17,Simbad,282
01 45 31.843600,+25 32 15.23080,PTF10ysx,1,SNII,0.012799,NED,2010ji,01 45 31.8436,+25 32 15.2308,01 45 32.4558,+25 47 40.65,59.137,0.079,15.987,0.021,0.1,0.09,-16.82,-18.19,-18.79,-0.47,9.02,-9.49,6.55,17,Simbad,283
00 25 57.152333,+15 52 52.57490,PTF10yxk,1,SNII,0.059,MATCHING,,00 25 57.1523,+15 52 52.5749,00 25 57.1408,+16 42 40.16,1.913,0.256,2.255,0.302,0.06,0.1,-13.8,-16.49,-17.14,-1.65,8.38,-10.05,1.77,10,Simbad,284
04 39 17.321400,-00 20 54.72350,PTF10yyc,1,SNIIn,0.2147,GAL.LINES,,04 39 17.3214,-00 20 54.7235,04 39 17.2795,-01 13 53.66,1.041,0.14,3.745,0.504,0.04,0.25,-15.61,-18.74,-20.24,-0.48,9.85,-10.33,5.15,9,Simbad,285
00 11 50.019000,+26 41 13.90920,PTF10yzt,1,SNIIn,0.0766,GAL.LINES,,00 11 50.0190,+26 41 13.9092,00 11 50.0083,+26 56 45.32,1.852,0.12,2.776,0.18,0.05,0.19,-16.33,-18.31,-19.83,-0.17,9.47,-9.63,7.52,17,Simbad,286
23 19 14.397800,+26 03 11.26300,PTF10zcn,1,SNIc,0.02114,SDSS,2010is,23 19 14.3978,+26 03 11.2630,23 19 14.3599,+26 23 04.44,8.826,0.095,3.901,0.042,0.08,0.19,-17.74,-20.41,-21.62,0.17,10.21,-10.07,2.99,17,Simbad,287
01 59 04.747800,+20 35 37.10000,PTF10ze,1,SNII,0.036,MATCHING,,01 59 04.7478,+20 35 37.1000,01 59 04.9365,+21 05 11.89,7.393,0.149,5.466,0.11,0.07,0.09,-18.24,-19.89,-20.7,0.08,9.83,-9.76,5.4,17,Simbad,288
09 32 56.614200,+08 45 08.05250,PTF11acz,1,SNII,0.087,GAL.LINES,,09 32 56.6142,+08 45 08.0525,09 32 56.7618,+08 55 23.18,3.199,0.286,5.381,0.481,0.04,0.15,-17.17,-18.85,-20.01,0.03,9.42,-9.39,4.93,15,Simbad,289
11 45 24.431600,+68 57 12.15180,PTF11aib,1,SNII,0.082,GAL.LINES,,11 45 24.4316,+68 57 12.1518,11 45 23.5445,+69 03 21.05,7.516,0.194,11.986,0.309,0.01,0.22,-19.38,-21.38,-22.2,0.92,10.6,-9.67,6.69,15,Simbad,290
08 26 49.205333,+20 22 31.35580,PTF11ajz,1,SNII,0.0251,SDSS,2011cl,08 26 49.2053,+20 22 31.3558,08 26 48.9772,+21 14 20.08,38.156,0.117,19.928,0.061,0.03,0.1,-18.94,-20.31,-20.5,0.24,9.85,-9.62,4.41,16,Simbad,291
13 30 03.922400,+13 24 57.42320,PTF11akn,1,SNIIn,0.02468,SDSS,,13 30 03.9224,+13 24 57.4232,13 30 02.2567,+14 22 09.35,24.315,0.16,12.493,0.082,0.02,0.2,-17.96,-21.32,-23.33,0.42,11.04,-10.62,5.52,14,Simbad,292
09 06 00.784000,+29 20 31.28890,PTF11ams,1,SNII,0.02291,SDSS,2010lu,09 06 00.7840,+29 20 31.2889,09 06 00.2493,+30 00 58.57,11.946,0.148,5.71,0.071,0.02,0.12,-17.37,-19.07,-19.59,-0.29,9.55,-9.84,6.54,17,Simbad,293
16 02 08.792400,+22 03 51.89040,PTF11asb,1,SNII,0.0749,GAL.LINES,,16 02 08.7924,+22 03 51.8904,16 02 08.8419,+22 53 59.06,1.137,0.214,1.67,0.314,0.05,0.07,-17.3,-18.84,-19.18,-0.5,9.3,-9.81,4.38,14,Simbad,294
03 16 23.539467,+40 57 58.08530,PTF11aun,1,SNII,0.0204,GAL.LINES,,03 16 23.5395,+40 57 58.0853,,,,,,,0.14,0.26,-9.84,-14.65,-16.19,-2.39,8.22,-10.48,3.95,10,Simbad,295
13 55 47.522933,+21 11 26.26440,PTF11awe,1,SNIb,0.0553,GAL.LINES,2011aw,13 55 47.5229,+21 11 26.2644,13 55 47.5150,+21 37 11.48,0.132,0.193,0.146,0.214,0.02,0.14,-13.81,-15.21,-15.61,-1.51,7.67,-9.18,2.72,5,Simbad,296
16 12 18.186000,+25 59 25.71320,PTF11bgl,1,SNII,0.04078,SDSS,,16 12 18.1860,+25 59 25.7132,16 12 17.9057,+26 29 41.30,6.248,0.402,5.203,0.335,0.06,0.17,-18.35,-20.7,-21.9,0.36,10.46,-10.12,6.41,17,Simbad,297
14 02 16.184400,+33 39 41.14870,PTF11bli,1,SNIbc,0.03436,SDSS,,14 02 16.1844,+33 39 41.1487,14 02 16.1037,+34 19 32.94,1.172,0.126,0.829,0.089,0.01,0.16,-17.93,-19.62,-20.22,0.14,9.82,-9.68,9.8,16,Simbad,298
16 16 42.540933,+00 14 28.50320,PTF11bni,1,SNII,0.03065,SDSS,2011bn,16 16 42.5409,+00 14 28.5032,16 16 43.5780,+01 01 21.58,24.446,0.164,15.487,0.104,0.1,0.07,-18.96,-21.62,-23.32,0.34,11.13,-10.78,9.08,16,Simbad,299
12 56 53.947600,+22 22 28.17590,PTF11bov,1,SNIc,0.02219,SDSS,2011bm,12 56 53.9476,+22 22 28.1759,12 56 53.5380,+22 47 00.67,6.503,0.158,3.013,0.073,0.03,0.09,-18.39,-19.71,-20.04,0.08,9.59,-9.51,6.74,16,Simbad,300
12 35 09.213200,-00 13 17.58580,PTF11bpx,1,SNII,0.022966,NED,,12 35 09.2132,-00 13 17.5858,12 35 10.6740,-00 29 15.07,21.953,0.182,10.518,0.087,0.02,0.31,-18.66,-21.41,-22.99,1.06,10.88,-9.83,7.03,14,Simbad,301
15 38 35.518133,+26 13 29.97340,PTF11cag,1,SNII,0.0699,SDSS,,15 38 35.5181,+26 13 29.9734,15 38 35.3231,+26 31 25.00,11.851,0.11,16.34,0.152,0.03,0.2,-18.97,-22.01,-23.37,0.68,11.07,-10.45,5.02,14,Simbad,302
17 16 56.183000,+31 55 27.94870,PTF11cda,1,SNII,0.04148,SDSS,,17 16 56.1830,+31 55 27.9487,17 16 56.0393,+32 21 43.31,2.203,0.106,1.864,0.09,0.04,0.19,-18.12,-20.24,-21.24,0.35,10.21,-9.86,8.05,15,Simbad,303
14 13 46.077600,+34 02 13.20860,PTF11cgx,1,SNII,0.03364,SDSS,,14 13 46.0776,+34 02 13.2086,14 13 45.9266,+34 18 00.29,3.368,0.182,2.333,0.126,0.02,0.28,-17.53,-19.82,-20.98,0.5,10.06,-9.56,7.37,15,Simbad,304
13 10 21.736600,+37 52 59.52610,PTF11cmh,1,SNIc-BL,0.1055,GAL.LINES,,13 10 21.7366,+37 52 59.5261,13 10 21.7815,+38 49 37.97,1.967,0.128,3.927,0.256,0.01,0.08,-17.7,-18.67,-18.6,-0.16,8.71,-8.84,1.24,5,Simbad,305
14 58 42.514533,+36 36 07.87100,PTF11csc,1,SNIIn,0.118,MATCHING,,14 58 42.5145,+36 36 07.8710,14 58 42.4789,+36 43 48.85,0.432,0.34,0.951,0.748,0.01,0.3,-13.46,-15.06,-15.69,-0.85,7.08,-7.87,0.17,4,Simbad,306
16 52 28.499800,+21 42 01.38460,PTF11cwi,1,SNII,0.05633,SDSS,,16 52 28.4998,+21 42 01.3846,16 52 28.4773,+22 38 22.34,4.024,0.122,4.543,0.138,0.05,0.34,-16.95,-20.24,-21.81,0.38,10.43,-10.07,3.44,17,Simbad,307
13 33 39.997733,+36 30 54.18070,PTF11cyw,1,SNII,0.059,MATCHING,,13 33 39.9977,+36 30 54.1807,13 33 40.2038,+37 26 13.06,3.213,0.164,3.788,0.193,0.01,0.13,-14.62,-18.34,-19.45,-1.32,9.5,-10.84,3.82,15,Simbad,308
13 35 53.971733,+38 31 56.02220,PTF11dad,1,SNII,0.07203,SDSS,,13 35 53.9717,+38 31 56.0222,13 35 54.4700,+39 26 00.27,5.936,0.317,8.413,0.449,0.01,0.21,-17.34,-19.61,-20.5,0.07,9.9,-9.85,4.24,15,Simbad,309
17 22 51.454200,+60 07 49.48610,PTF11dhf,1,SNIIb,0.02763,SDSS,,17 22 51.4542,+60 07 49.4861,17 22 52.5404,+60 53 30.94,8.641,0.134,4.953,0.077,0.02,0.19,-18.06,-20.39,-21.41,0.31,10.32,-10.02,6.94,15,Simbad,310
13 50 57.768933,+26 16 42.75080,PTF11dij,1,SLSN-I,0.143,GAL.LINES,2011ke,13 50 57.7689,+26 16 42.7508,13 50 57.7313,+26 58 44.64,0.506,0.132,1.312,0.342,0.01,0.07,-16.17,-16.74,-16.22,-0.77,7.41,-8.17,0.35,6,Simbad,311
